ModelID,model,selected_genes,oracle_genes
ACH-000484,shared_multiomics,CDAN1|MED1|LRPPRC|UBA5|KIF14|PPRC1|TLN1|NRDC|PIK3CA|ASCC3,ZNF638|MED1|ASCC3|EP300|UBA5|BIRC6|ARHGEF7|KIF14|NPHP1|EIF3L
ACH-000495,shared_multiomics,CDAN1|UBA5|LRPPRC|MED1|PPRC1|TLN1|KIF14|NRDC|PIK3CA|ASCC3,CDAN1|PPRC1|ASCC3|TLN1|SACS|CPAMD8|KMT2A|UBA5|MYO18A|BRIP1
ACH-000533,shared_multiomics,CDAN1|LRPPRC|MED1|PPRC1|UBA5|KIF14|PIK3CA|ASCC3|EP300|BRIP1,PDGFRA|CDAN1|LRPPRC|PIK3CA|EP300|BRIP1|ARHGEF7|SMARCA4|ZMYM2|PLEKHG2
ACH-000649,shared_multiomics,CDAN1|MED1|UBA5|LRPPRC|PPRC1|KIF14|TLN1|NRDC|ASCC3|BIRC6,UBA5|PPRC1|MED1|ACACA|ZNF638|BRIP1|CTNNA1|CELSR2|NRDC|ANKRD11
ACH-000684,shared_multiomics,CDAN1|MED1|UBA5|PPRC1|LRPPRC|TLN1|ACACA|PIK3CA|NRDC|KIF14,CDAN1|UBA5|SACS|PYGM|BRIP1|PDGFRA|PPRC1|RYR1|KMT2A|ZNF638
ACH-000709,shared_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|TLN1|NRDC|ASCC3,ACACA|TLN1|ASCC3|BRIP1|CDAN1|EP300|APC|CELSR2|PAN3|SACS
ACH-000907,shared_multiomics,CDAN1|MED1|UBA5|LRPPRC|PPRC1|TLN1|KIF14|PIK3CA|BIRC6|ASCC3,TLN1|UBA5|CDAN1|ANKRD11|SACS|PDGFRA|SGO2|STRN3|BRIP1|EIF3L
ACH-001163,shared_multiomics,CDAN1|LRPPRC|MED1|KIF14|UBA5|PPRC1|PIK3CA|NRDC|ASCC3|EIF3L,LRPPRC|SMARCA4|ACACA|NF1|CDAN1|MED1|SMARCC2|ZNF638|BIRC6|MYO18A
ACH-001194,shared_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|TLN1|PIK3CA|ASCC3|NRDC,MED1|UBA5|TLN1|PIK3CA|PPRC1|SMARCC2|CDAN1|BIRC6|MYO18A|NRDC
ACH-001310,shared_multiomics,CDAN1|LRPPRC|UBA5|MED1|PPRC1|KIF14|PIK3CA|TLN1|ASCC3|NRDC,ARHGEF7|LRPPRC|MED1|EIF3L|CDAN1|APC|TLN1|BRD7|UBA5|BRIP1
ACH-001398,shared_multiomics,CDAN1|MED1|UBA5|LRPPRC|PPRC1|KIF14|NRDC|PIK3CA|ASCC3|BIRC6,LRPPRC|ARID1A|APC|TLN1|UBA5|NFE2L2|MED1|ASCC3|ANKRD11|PIK3CA
ACH-001532,shared_multiomics,CDAN1|LRPPRC|MED1|UBA5|PPRC1|KIF14|PIK3CA|EP300|BRIP1|ASCC3,CDAN1|EP300|AP2B1|BRIP1|SMARCA4|LRPPRC|PPRC1|EIF3L|DHX29|SMARCC2
ACH-001687,shared_multiomics,MED1|CDAN1|UBA5|LRPPRC|PPRC1|PIK3CA|NRDC|ACACA|TLN1|BIRC6,UBA5|MED1|BRIP1|ACACA|ZNF638|ANKRD11|CDAN1|MAP4K4|MYO18A|LRPPRC
ACH-002528,shared_multiomics,CDAN1|MED1|UBA5|LRPPRC|PPRC1|TLN1|KIF14|PIK3CA|ASCC3|NRDC,UBA5|MED1|ZNFX1|LRPPRC|SGO2|NRDC|CDAN1|ACACA|ZNF638|DHX29
ACH-002533,shared_multiomics,MED1|CDAN1|UBA5|LRPPRC|TLN1|PIK3CA|PPRC1|ACACA|BIRC6|NRDC,MED1|EIF3L|ZNF638|LRPPRC|NRDC|APC|AHNAK|PPRC1|UBA5|ARID1A
ACH-000096,targetwise_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|EP300|SMARCA4|ASCC3,CDAN1|KIF14|BRIP1|KMT2A|RNF25|LRPPRC|EIF3L|ANKRD11|PPRC1|PLEKHG2
ACH-000159,targetwise_multiomics,CDAN1|MED1|LRPPRC|PPRC1|KIF14|BIRC6|NRDC|ASCC3|TLN1|PIK3CA,CDAN1|UBA5|TLN1|ARID1A|SMARCA4|PPRC1|KIF14|PCSK9|EIF3L|CELSR2
ACH-000189,targetwise_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|PIK3CA|KIF14|ASCC3|BIRC6|ACACA,ASCC3|TLN1|UBA5|CPAMD8|CELSR2|MYO18A|CDAN1|ACACA|PPRC1|MED1
ACH-000250,targetwise_multiomics,MED1|CDAN1|LRPPRC|KIF14|PPRC1|BIRC6|NRDC|PIK3CA|UBA5|TLN1,CDAN1|UBA5|EP300|PPRC1|ACACA|KIF14|ANKRD11|PCNT|EIF3L|MYO18A
ACH-000262,targetwise_multiomics,MED1|CDAN1|PPRC1|LRPPRC|KIF14|BIRC6|NRDC|PIK3CA|UBA5|TLN1,TLN1|ACACA|BRIP1|PPRC1|KIF14|EP300|MYO18A|AHNAK|PIK3CA|PDGFRA
ACH-000272,targetwise_multiomics,MED1|CDAN1|PPRC1|LRPPRC|KIF14|BIRC6|PIK3CA|NRDC|ASCC3|EIF3L,ACACA|CPAMD8|UBA5|NRDC|TLN1|NAV1|RNF25|PIK3R2|BRD7|ASCC3
ACH-000313,targetwise_multiomics,CDAN1|MED1|KIF14|LRPPRC|PPRC1|ASCC3|TLN1|BIRC6|EIF3L|NRDC,ARHGEF7|EP300|RNF25|TLN1|MED1|ARID1A|UBA5|PPRC1|ACACA|SMARCC2
ACH-000385,targetwise_multiomics,MED1|CDAN1|LRPPRC|KIF14|PPRC1|BIRC6|NRDC|PIK3CA|EIF3L|TLN1,UBA5|LRPPRC|CPAMD8|MED1|SPTAN1|ZMYM2|MYO18A|ARHGEF7|CEP152|EIF3L
ACH-000459,targetwise_multiomics,CDAN1|MED1|LRPPRC|KIF14|PPRC1|BIRC6|NRDC|ASCC3|PIK3CA|TLN1,ZNF638|TLN1|ZNFX1|CPAMD8|BIRC6|ASCC3|APC|LRP2|BRD7|SMARCA4
ACH-000484,targetwise_multiomics,CDAN1|MED1|LRPPRC|KIF14|PPRC1|SMARCA4|BIRC6|NRDC|ASCC3|ARID1A,ZNF638|MED1|ASCC3|EP300|UBA5|BIRC6|ARHGEF7|KIF14|NPHP1|EIF3L
ACH-000495,targetwise_multiomics,CDAN1|MED1|LRPPRC|KIF14|PPRC1|BIRC6|NRDC|ASCC3|PIK3CA|TLN1,CDAN1|PPRC1|ASCC3|TLN1|SACS|CPAMD8|KMT2A|UBA5|MYO18A|BRIP1
ACH-000533,targetwise_multiomics,CDAN1|MED1|LRPPRC|UBA5|PPRC1|KIF14|PIK3CA|ASCC3|PDGFRA|NRDC,PDGFRA|CDAN1|LRPPRC|PIK3CA|EP300|BRIP1|ARHGEF7|SMARCA4|ZMYM2|PLEKHG2
